place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJfwNNHIuLGGARueE5J7xZTVA,TacosWay Toranomon takosuuei Hu noMen ,https://www.google.com/maps/place/TacosWay+Toranomon+%E3%82%BF%E3%82%B3%E3%82%B9%E3%82%A6%E3%82%A7%E3%82%A4+%E8%99%8E%E3%83%8E%E9%96%80/data=!4m7!3m6!1s0x60188b8b1c4d037f:0x504d59bc2739e1b9!8m2!3d35.6679904!4d139.7500876!16s%2Fg%2F11fwjh6w2b!19sChIJfwNNHIuLGGARueE5J7xZTVA?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , resutoran, takosu resutoran",4.1,197,@105-6402 Dong Jing Du Gang Qu Hu noMen 1Ding Mu 17-1 Hu noMen hiruzu bizinesutawa 2F TacosWay Toranomon takosuuei Hu noMen ,35.6679904,139.7500876
ChIJEcrJcJPzGGARExro8JGYpEo,Kitade Tacos Xia Bei Ze Dian ,https://www.google.com/maps/place/Kitade+Tacos+%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97/data=!4m7!3m6!1s0x6018f39370c9ca11:0x4aa49891f0e81a13!8m2!3d35.6605268!4d139.6658635!16s%2Fg%2F11rtnkhp4l!19sChIJEcrJcJPzGGARExro8JGYpEo?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4,180,@155-0031 Dong Jing Du Shi Tian Gu Qu Bei Ze 2Ding Mu 21-22 Kitade Tacos Xia Bei Ze Dian ,35.6605268,139.6658635
ChIJdfjMpYuMGGARXgcaYh9FRZM,sarusakabana Si tsuGu baru,https://www.google.com/maps/place/%E3%82%B5%E3%83%AB%E3%82%B5%E3%82%AB%E3%83%90%E3%83%8A+%E5%9B%9B%E3%83%84%E8%B0%B7%E3%83%90%E3%83%AB/data=!4m7!3m6!1s0x60188c8ba5ccf875:0x9345451f621a075e!8m2!3d35.686833!4d139.72803!16s%2Fg%2F1tlndflj!19sChIJdfjMpYuMGGARXgcaYh9FRZM?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , Ju Jiu Wu , teikuauto, mekishikantorutaLiao Li Dian , modanJu Jiu Wu resutoran",3.6,178,@160-0004 Dong Jing Du Xin Su Qu Si Gu 1Ding Mu 20-9 Xiao Dao biru 1F sarusakabana Si tsuGu baru,35.686833,139.72803
ChIJJ8mYM-mLGGARIIbc-pvh7Mc,eruborachiyoYin Zuo koridoDian ,https://www.google.com/maps/place/%E3%82%A8%E3%83%AB%E3%83%9C%E3%83%A9%E3%83%BC%E3%83%81%E3%83%A7%E9%8A%80%E5%BA%A7%E3%82%B3%E3%83%AA%E3%83%89%E3%83%BC%E5%BA%97/data=!4m7!3m6!1s0x60188be93398c927:0xc7ece19bfadc8620!8m2!3d35.669292!4d139.7592122!16s%2Fg%2F11bzt4db7r!19sChIJJ8mYM-mLGGARIIbc-pvh7Mc?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.2,177,@104-0061 Dong Jing Du Zhong Yang Qu Yin Zuo 8Ding Mu 3-1 GINZA TOKIDENbiru 1Jie  eruborachiyoYin Zuo koridoDian ,35.669292,139.7592122
ChIJGUHYAtKNGGARr0KKxblvdXI,takohuanateikoShibui Gu  TACO FANATICO Shibuya,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%83%95%E3%82%A1%E3%83%8A%E3%83%86%E3%82%A3%E3%82%B3%E6%B8%8B%E8%B0%B7+TACO+FANATICO+Shibuya/data=!4m7!3m6!1s0x60188dd202d84119:0x72756fb9c58a42af!8m2!3d35.6610485!4d139.6973796!16s%2Fg%2F11sp53bl69!19sChIJGUHYAtKNGGARr0KKxblvdXI?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, ba",4.3,167,@150-0042 Dong Jing Du Shibui Gu Qu Yu Tian Chuan Ting 32-7 takohuanateikoShibui Gu  TACO FANATICO Shibuya,35.6610485,139.6973796
ChIJ0Ts91_mJGGARi9TqtJIeonI,wahuzu takosu&moa,https://www.google.com/maps/place/%E3%83%AF%E3%83%95%E3%83%BC%E3%82%BA+%E3%82%BF%E3%82%B3%E3%82%B9%26%E3%83%A2%E3%82%A2/data=!4m7!3m6!1s0x601889f9d73d3bd1:0x72a21e92b4ead48b!8m2!3d35.6245806!4d139.77475!16s%2Fg%2F1ptxqtck6!19sChIJ0Ts91_mJGGARi9TqtJIeonI?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),tetsukusumetsukusuLiao Li Dian (amerika),3.8,159,@135-0064 Dong Jing Du Jiang Dong Qu Qing Hai 1Ding Mu 1-10 daibashiteiDong Jing puraza7F wahuzu takosu&moa,35.6245806,139.77475
ChIJM6ueoF2TGGAR1pZ2wrae3nk,Rocco's California Style Tacos ratsukozukarihuoruniasutairutakosu,https://www.google.com/maps/place/Rocco%27s+California+Style+Tacos+%E3%83%A9%E3%83%83%E3%82%B3%E3%82%BA%E3%82%AB%E3%83%AA%E3%83%95%E3%82%A9%E3%83%AB%E3%83%8B%E3%82%A2%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x6018935da09eab33:0x79de9eb6c27696d6!8m2!3d35.7539395!4d139.7360651!16s%2Fg%2F11tfbbpxk7!19sChIJM6ueoF2TGGAR1pZ2wrae3nk?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,4.8,158,"Rocco's California Style Tacos ratsukozukarihuoruniasutairutakosu, 1Ding Mu -3-4 An Ting  Bei Qu  Dong Jing Du  114-0021",35.7539395,139.7360651
ChIJY4TQZDWLGGARGtZIbonlSjU,torikeratopusu You Tian Si Dian ,https://www.google.com/maps/place/%E3%83%88%E3%83%AA%E3%82%B1%E3%83%A9%E3%83%88%E3%83%97%E3%82%B9+%E7%A5%90%E5%A4%A9%E5%AF%BA%E5%BA%97/data=!4m7!3m6!1s0x60188b3564d08463:0x354ae5896e48d61a!8m2!3d35.6379297!4d139.6930319!16s%2Fg%2F1td6596b!19sChIJY4TQZDWLGGARGtZIbonlSjU?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), burito resutoran, Zhai Pei /Chu Qian , takosu resutoran",4,153,@153-0052 Dong Jing Du Mu Hei Qu You Tian Si 1Ding Mu 24-14 1F torikeratopusu You Tian Si Dian ,35.6379297,139.6930319
ChIJFbGdNVyNGGARChq7yMlg-CU,EL CARACOL erukarakoru,https://www.google.com/maps/place/EL+CARACOL+%E3%82%A8%E3%83%AB%E3%82%AB%E3%83%A9%E3%82%B3%E3%83%AB/data=!4m7!3m6!1s0x60188d5c359db115:0x25f860c9c8bb1a0a!8m2!3d35.6882869!4d139.7168449!16s%2Fg%2F11fg_wj4q2!19sChIJFbGdNVyNGGARChq7yMlg-CU?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.6,151,@160-0004 Dong Jing Du Xin Su Qu Si Gu 4Ding Mu 10 Jin Zi biru 1F EL CARACOL erukarakoru,35.6882869,139.7168449
ChIJvcOVS-qLGGAR0t8_58ohdnQ,otakosu,https://www.google.com/maps/place/%E3%82%AA%E3%83%BC%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188bea4b95c3bd:0x747621cae73fdfd2!8m2!3d35.6657121!4d139.7559412!16s%2Fg%2F11b7xfsrs3!19sChIJvcOVS-qLGGAR0t8_58ohdnQ?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), takosu resutoran",3.9,150,@105-0004 Dong Jing Du Gang Qu Xin Qiao 3Ding Mu 14-1 otakosu,35.6657121,139.7559412
