place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey,webpage
ChIJ08wLR0iLGGAROQ1Jg_dZVE8,Tokyo Tacos ChaChaCha,https://www.google.com/maps/place/Mexican+Cafe+ChaChaCha+%28%E3%83%81%E3%83%A3%E3%83%81%E3%83%A3%E3%83%81%E3%83%A3%29/data=!4m7!3m6!1s0x60188b48470bccd3:0x4f5459f783490d39!8m2!3d35.6531905!4d139.7287388!16s%2Fg%2F11m9mf2jk5!19sChIJ08wLR0iLGGAROQ1Jg_dZVE8?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, ba, suitsuDian , mekishikoLiao Li Dian , mekishikantorutaLiao Li Dian ",4.6,65.0,〒106-0046 東京都港区元麻布２丁目８−１,35.6531905,139.7287388,https://www.instagram.com/chachacha_tacos/
ChIJk7OLUy_iGGAR-TiimMjEqAA,メヒカリ,https://www.google.com/maps/place/%E3%83%A1%E3%83%92%E3%82%AB%E3%83%AA/data=!4m7!3m6!1s0x6018e22f538bb393:0xa8c4c898a238f9!8m2!3d35.6797695!4d139.3953047!16s%2Fg%2F11bbxmlzb0!19sChIJk7OLUy_iGGAR-TiimMjEqAA?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.2,57.0,〒191-0011 東京都日野市日野本町４丁目７−１８,35.6797695,139.3953047,http://mexicali-jp.com/
ChIJBZCGbk-PGGARm7QeB-levxc,LOVE TACOS SHACK by Victor Burgos,https://www.google.com/maps/place/LOVE+TACOS+SHACK+by+Victor+Burgos/data=!4m7!3m6!1s0x60188f4f6e869005:0x17bf5ee9071eb49b!8m2!3d35.7264901!4d139.8142071!16s%2Fg%2F11qr57ymht!19sChIJBZCGbk-PGGARm7QeB-levxc?authuser=0&hl=ja&rclk=1,ba&guriru,ba&guriru,3.9,56.0,,35.7264901,139.8142071,https://menu.lovetacos.jp/
ChIJwfg2dUjuGGARlajY3bv4ya4,TACOS Shop Kichijoji,https://www.google.com/maps/place/TACOS+Shop+Kichijoji/data=!4m7!3m6!1s0x6018ee487536f8c1:0xaec9f8bbddd8a895!8m2!3d35.703571!4d139.5788416!16s%2Fg%2F11gds3tl2g!19sChIJwfg2dUjuGGARlajY3bv4ya4?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, mekishikoLiao Li Dian ",4.4,54.0,〒180-0004 東京都武蔵野市吉祥寺本町１丁目１,35.703571,139.5788416,https://instagram.com/tacosshop_kichijoji?utm_medium=copy_link
ChIJ_02f_UCNGGARUiUTanuG770,tacos trap' (タコス・トラップ) 新宿御苑店,https://www.google.com/maps/place/tacos+trap%27+%28%E3%82%BF%E3%82%B3%E3%82%B9%E3%83%BB%E3%83%88%E3%83%A9%E3%83%83%E3%83%97%29+%E6%96%B0%E5%AE%BF%E5%BE%A1%E8%8B%91%E5%BA%97/data=!4m7!3m6!1s0x60188d40fd9f4dff:0xbdef867b6a132552!8m2!3d35.6891503!4d139.7121799!16s%2Fg%2F11kbhqznv0!19sChIJ_02f_UCNGGARUiUTanuG770?authuser=0&hl=ja&rclk=1,resutoran,resutoran,4.6,54.0,〒160-0022 東京都新宿１丁目２０−６ 石原共同ビル 1F,35.6891503,139.7121799,https://tabelog.com/tokyo/A1304/A130402/13282222/?cid=google_yoyaku
ChIJMWDlb8KLGGARsecNIuqzXo0,TACO RiCO Atago タコリッコ 愛宕グリーンヒルズ店,https://www.google.com/maps/place/TACO+RiCO+Atago+%E3%82%BF%E3%82%B3%E3%83%AA%E3%83%83%E3%82%B3+%E6%84%9B%E5%AE%95%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%92%E3%83%AB%E3%82%BA%E5%BA%97/data=!4m7!3m6!1s0x60188bc26fe56031:0x8d5eb3ea220de7b1!8m2!3d35.6619838!4d139.7490808!16s%2Fg%2F11gtz9zjs3!19sChIJMWDlb8KLGGARsecNIuqzXo0?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, burito resutoran, mekishikoLiao Li Dian , resutoran, sarada shiyotsupu",4.1,53.0,〒105-0002 東京都港区愛宕２丁目５−１ グリーンヒルズMORIタワ １F,35.6619838,139.7490808,http://www.tacorico.jp/index.html
ChIJ2-E-NYuLGGARktU4m1Av4cI,Molé TAQUERIA Y BAR,https://www.google.com/maps/place/Mol%C3%A9+TAQUERIA+Y+BAR/data=!4m7!3m6!1s0x60188b8b353ee1db:0xc2e12f509b38d592!8m2!3d35.6827101!4d139.7642504!16s%2Fg%2F11kj7gwgp6!19sChIJ2-E-NYuLGGARktU4m1Av4cI?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , ba, resutoran, takosu resutoran, tetsukusumetsukusuLiao Li Dian (amerika)",4.1,52.0,〒100-6507 東京都千代田区丸の内１丁目５−１ 丸の内ハウス 新丸の内ビル 7F,35.6827101,139.7642504,https://www.tablecheck.com/shops/mole-marunouchi/reserve?utm_source=google
ChIJWxvImciNGGARqvaKSsjK2k8,TAKOBAR,https://www.google.com/maps/place/TAKOBAR/data=!4m7!3m6!1s0x60188dc899c81b5b:0x4fdacac84a8af6aa!8m2!3d35.6620475!4d139.6989913!16s%2Fg%2F11j7j1vpww!19sChIJWxvImciNGGARqvaKSsjK2k8?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.3,52.0,〒150-0042 東京都渋谷区宇田川町１５−１ 渋谷PARCO 10F,35.6620475,139.6989913,https://takobar.life/
ChIJdRlTV6VPGGARVTd7-ZN27-w,TACOS SHOP PARA MEXICO,https://www.google.com/maps/place/PARAMEXICO+%28%E3%83%91%E3%83%A9%E3%83%A1%E3%83%92%E3%82%B3%29/data=!4m7!3m6!1s0x60184fa557531975:0xecef7693f97b3755!8m2!3d35.3201461!4d139.4710167!16s%2Fg%2F11t5tdp_dg!19sChIJdRlTV6VPGGARVTd7-ZN27-w?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.4,45.0,〒251-0037 神奈川県藤沢市鵠沼海岸２丁目３−９ 関根ビル 2F,35.3201461,139.4710167,https://www.hotpepper.jp/strJ003473031/
ChIJ7wOuPHuLGGARjq2MrwaMtPw,TACOS BAR,https://www.google.com/maps/place/TACOS+BAR/data=!4m7!3m6!1s0x60188b7b3cae03ef:0xfcb48c06af8cad8e!8m2!3d35.6504357!4d139.7072046!16s%2Fg%2F11s8jszb_f!19sChIJ7wOuPHuLGGARjq2MrwaMtPw?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.8,43.0,〒150-0013 東京都渋谷区恵比寿西２丁目７−１ 1F,35.6504357,139.7072046,http://tacosbar.lostacosazules.jp/
