place_id,name,link,main_category,categories,rating,reviews,address,coordinatex,coordinatey
ChIJk3gj9E2NGGAReMCDe2yhjBc,motsuchitakosu,https://www.google.com/maps/place/%E3%82%82%E3%81%A3%E3%81%A1%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188d4df4237893:0x178ca16c7b83c078!8m2!3d35.6601015!4d139.6987315!16s%2Fg%2F11txtysp97!19sChIJk3gj9E2NGGAReMCDe2yhjBc?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.8,20,@150-0042 Dong Jing Du Shibui Gu Qu Yu Tian Chuan Ting 26 motsuchitakosu,35.6601015,139.6987315
ChIJd9AXgVWLGGAR9h0w-PkWMlo,takosutoRi Ben wain kobako,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%82%B9%E3%81%A8%E6%97%A5%E6%9C%AC%E3%83%AF%E3%82%A4%E3%83%B3+%E3%81%93%E3%81%B0%E3%81%93/data=!4m7!3m6!1s0x60188b558117d077:0x5a3216f9f8301df6!8m2!3d35.6694882!4d139.7649463!16s%2Fg%2F11ks6k0mzj!19sChIJd9AXgVWLGGAR9h0w-PkWMlo?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, ba, kareDian , wainba",4.5,15,@104-0061 Dong Jing Du Zhong Yang Qu Yin Zuo 6Ding Mu 12-17 Jin Guang biru 1Jie  takosutoRi Ben wain kobako,35.6694882,139.7649463
ChIJMR9lNyPzGGARPD_MVrfl_mg,perosuperasu,https://www.google.com/maps/place/%E3%83%9A%E3%83%AD%E3%82%B9%E3%83%9A%E3%83%A9%E3%82%B9/data=!4m7!3m6!1s0x6018f32337651f31:0x68fee5b756cc3f3c!8m2!3d35.6699364!4d139.6857975!16s%2Fg%2F11sszc8n9g!19sChIJMR9lNyPzGGARPD_MVrfl_mg?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,4.9,14,"@151-0062 Dong Jing Du Shibui Gu Qu Yuan Dai ""Mu Ting 9-6 TOPCOURT2 perosuperasu",35.6699364,139.6857975
ChIJE0b2luqLGGARk15oX_h4GRI,Los Tacos Azules (Ebisu),https://www.google.com/maps/place/Los+Tacos+Azules+%28Ebisu%29/data=!4m7!3m6!1s0x60188bea96f64613:0x121978f85f685e93!8m2!3d35.650415!4d139.7071529!16s%2Fg%2F11ksl0rl6w!19sChIJE0b2luqLGGARk15oX_h4GRI?authuser=0&hl=ja&rclk=1,takosu resutoran,"takosu resutoran, Zhong Nan Mi Liao Li resutoran, mekishikoLiao Li Dian ",4.5,13,"Los Tacos Azules (Ebisu), 1F 2 Chome-7-1 Ebisunishi Shibuya City, Tokyo 150-0013, Dong Jing Du  150-0013",35.650415,139.7071529
ChIJTUMJMwBbGGARzh3gUELwNIU,CRAZY TACOS,https://www.google.com/maps/place/CRAZY+TACOS/data=!4m7!3m6!1s0x60185b003309434d:0x8534f04250e01dce!8m2!3d35.425999!4d139.5956234!16s%2Fg%2F11vwsr0gbn!19sChIJTUMJMwBbGGARzh3gUELwNIU?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,5,11,@232-0066 Shen Nai Chuan Xian Heng Bang Shi Nan Qu Liu tsuChuan 1Ding Mu 39-3 CRAZY TACOS,35.425999,139.5956234
ChIJdSYvT1xOGGARSjPJesNrAkc,takosumairuXiang Nan Hu Zhao Hai An Dian ,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%82%B9%E3%83%9E%E3%82%A4%E3%83%AB%E6%B9%98%E5%8D%97%E9%B5%A0%E6%B2%BC%E6%B5%B7%E5%B2%B8%E5%BA%97/data=!4m7!3m6!1s0x60184e5c4f2f2675:0x47026bc37ac9334a!8m2!3d35.315694!4d139.469982!16s%2Fg%2F11c1vnynsq!19sChIJdSYvT1xOGGARSjPJesNrAkc?authuser=0&hl=ja&rclk=1,kahueChi Cha ,"kahueChi Cha , resutoran",4.2,11,@251-0037 Shen Nai Chuan Xian Teng Ze Shi Hu Zhao Hai An 1Ding Mu 17-3 Xiang Nan Hai An Gong Yuan sahubiretsuzi takosumairuXiang Nan Hu Zhao Hai An Dian ,35.315694,139.469982
ChIJrd6L9auJGGARHc5EUs766cA,FRIJOLES hurihoresuRi Ben Qiao Shi Ting YUITO,https://www.google.com/maps/place/FRIJOLES+%E3%83%95%E3%83%AA%E3%83%9B%E3%83%BC%E3%83%AC%E3%82%B9%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%AE%A4%E7%94%BAYUITO/data=!4m7!3m6!1s0x601889abf58bdead:0xc0e9face5244ce1d!8m2!3d35.687305!4d139.7739393!16s%2Fg%2F11vyqj7pqh!19sChIJrd6L9auJGGARHc5EUs766cA?authuser=0&hl=ja&rclk=1,tetsukusumetsukusuLiao Li Dian (amerika),"tetsukusumetsukusuLiao Li Dian (amerika), burito resutoran, mekishikoLiao Li Dian , sarada shiyotsupu",3.8,11,@103-0022 Dong Jing Du Zhong Yang Qu Ri Ben Qiao Shi Ting 2Ding Mu 4-3 Ri Ben Qiao Shi Ting Ye Cun biru B1Jie  FRIJOLES hurihoresuRi Ben Qiao Shi Ting YUITO,35.687305,139.7739393
ChIJ0UmE_k6LGGARmgAdoQNU4_s,LA OTACO,https://www.google.com/maps/place/LA+OTACO/data=!4m7!3m6!1s0x60188b4efe8449d1:0xfbe35403a11d009a!8m2!3d35.6268938!4d139.7332597!16s%2Fg%2F11qbkpp3db!19sChIJ0UmE_k6LGGARmgAdoQNU4_s?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,4.6,10,@108-0074 Dong Jing Du Gang Qu Gao Lun 4Ding Mu 13-7 LA OTACO,35.6268938,139.7332597
ChIJTd2WOgyLGGARahzD-4MJdYY,TACOS mi Casa takosu mikasa Ri Bi Gu huototawa Yi Dian ,https://www.google.com/maps/place/TACOS+mi+Casa+%E3%82%BF%E3%82%B3%E3%82%B9+%E3%83%9F%E3%82%AB%E3%83%BC%E3%82%B5+%E6%97%A5%E6%AF%94%E8%B0%B7%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88%E3%82%BF%E3%83%AF+%E4%B8%80%E5%BA%97/data=!4m7!3m6!1s0x60188b0c3a96dd4d:0x86750983fbc31c6a!8m2!3d35.6699488!4d139.753214!16s%2Fg%2F11qgkgt873!19sChIJTd2WOgyLGGARahzD-4MJdYY?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,3.9,10,@105-0003 Dong Jing Du Gang Qu Xi Xin Qiao 1Ding Mu 1-1 Ri Bi Gu huototawa Yi Jie  TACOS mi Casa takosu mikasa Ri Bi Gu huototawa Yi Dian ,35.6699488,139.753214
ChIJp17dBa6NGGARms8zTwATlv4,Street Food Company,https://www.google.com/maps/place/Street+Food+Company/data=!4m7!3m6!1s0x60188dae05dd5ea7:0xfe9613004f33cf9a!8m2!3d35.6840176!4d139.6949421!16s%2Fg%2F11s3vprsd7!19sChIJp17dBa6NGGARms8zTwATlv4?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,5,7,"@151-0053 Dong Jing Du Shibui Gu Qu Dai ""Mu 3Ding Mu 13-1 Street Food Company",35.6840176,139.6949421
ChIJx-q5CIuLGGARoFwweElUVjI,raratakosu,https://www.google.com/maps/place/%E3%83%A9%E3%83%A9%E3%82%BF%E3%82%B3%E3%82%B9/data=!4m7!3m6!1s0x60188b8b08b9eac7:0x3256544978305ca0!8m2!3d35.3157827!4d139.5349802!16s%2Fg%2F11m454g6gj!19sChIJx-q5CIuLGGARoFwweElUVjI?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,5,5,@248-0016 Shen Nai Chuan Xian Lian Cang Shi Chang Gu 3Ding Mu 1-3 Da Fo Qian Shang Dian  raratakosu,35.3157827,139.5349802
ChIJcc3ENwD5GGARhzI7HEN-_uI,Birria Tacos,https://www.google.com/maps/place/Birria+Tacos/data=!4m7!3m6!1s0x6018f90037c4cd71:0xe2fe7e431c3b3287!8m2!3d35.5414268!4d139.4485646!16s%2Fg%2F11vm9mm0dc!19sChIJcc3ENwD5GGARhzI7HEN-_uI?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,mekishikoLiao Li Dian ,5,4,"Birria Tacos, 4Ding Mu -5-18 Yuan Ting Tian  Ting Tian Shi  Dong Jing Du  194-0013",35.5414268,139.4485646
ChIJVX-vlJ1dGGARjmxzV-2qg0o,Tacos and beer,https://www.google.com/maps/place/Tacos+and+beer/data=!4m7!3m6!1s0x60185d9d94af7f55:0x4a83aaed57736c8e!8m2!3d35.4557575!4d139.641422!16s%2Fg%2F11sb4897wh!19sChIJVX-vlJ1dGGARjmxzV-2qg0o?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,4,4,"Tacos and beer, 2Ding Mu -14-1 Xin Gang  Zhong Qu  Heng Bang Shi  Shen Nai Chuan Xian  231-0001",35.4557575,139.641422
ChIJkzsJfN2LGGAR9rpe_tYD7g0,San Tacos,https://www.google.com/maps/place/San+Tacos/data=!4m7!3m6!1s0x60188bdd7c093b93:0xdee03d6fe5ebaf6!8m2!3d35.6568884!4d139.6966581!16s%2Fg%2F11vz4r1xqf!19sChIJkzsJfN2LGGAR9rpe_tYD7g0?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,5,4,@150-0043 Dong Jing Du Shibui Gu Qu Dao Xuan Ban 1Ding Mu 20-2 orientaruDao Xuan Ban An Da biru 101 San Tacos,35.6568884,139.6966581
ChIJ-VAofACLGGARw_4kE4Ta9Ao,mekishikanbaru MAYO You Tian Si ,https://www.google.com/maps/place/%E3%83%A1%E3%82%AD%E3%82%B7%E3%82%AB%E3%83%B3%E3%83%90%E3%83%AB+MAYO+%E7%A5%90%E5%A4%A9%E5%AF%BA/data=!4m7!3m6!1s0x60188b007c2850f9:0xaf4da841324fec3!8m2!3d35.6373537!4d139.6923646!16s%2Fg%2F11y4ydfr83!19sChIJ-VAofACLGGARw_4kE4Ta9Ao?authuser=0&hl=ja&rclk=1,mekishikoLiao Li Dian ,"mekishikoLiao Li Dian , mekishikantorutaLiao Li Dian ",4.8,4,@153-0052 Dong Jing Du Mu Hei Qu You Tian Si 2Ding Mu 3-12 mekishikanbaru MAYO You Tian Si ,35.6373537,139.6923646
ChIJ5YbNlj1dGGARQujzdsCyCD0,takosu&takoraisuMo Nawa ,https://www.google.com/maps/place/%E3%82%BF%E3%82%B3%E3%82%B9%26%E3%82%BF%E3%82%B3%E3%83%A9%E3%82%A4%E3%82%B9%E5%A2%A8%E7%B8%84/data=!4m7!3m6!1s0x60185d3d96cd86e5:0x3d08b2c076f3e842!8m2!3d35.4379436!4d139.6277998!16s%2Fg%2F11tjphwk96!19sChIJ5YbNlj1dGGARQujzdsCyCD0?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,4.7,3,@232-0021 Shen Nai Chuan Xian Heng Bang Shi Nan Qu Zhen Jin Ting 2Ding Mu 18 takosu&takoraisuMo Nawa ,35.4379436,139.6277998
ChIJ5fGt-ir1GGARkheZ8X92_lo,Tacos Guild Ju Ze ,https://www.google.com/maps/place/Tacos+Guild+%E9%A7%92%E6%B2%A2/data=!4m7!3m6!1s0x6018f52afaadf1e5:0x5afe767ff1991792!8m2!3d35.6281447!4d139.6560402!16s%2Fg%2F11w3vn7yvl!19sChIJ5fGt-ir1GGARkheZ8X92_lo?authuser=0&hl=ja&rclk=1,resutoran,"resutoran, supotsuFu He Shi She ",4.5,2,@154-0012 Dong Jing Du Shi Tian Gu Qu Ju Ze 4Ding Mu 13-10 2F Tacos Guild Ju Ze ,35.6281447,139.6560402
ChIJ_fdzuOOLGGARB_IK4S-2mwU,VOK Tacos,https://www.google.com/maps/place/VOK+Tacos/data=!4m7!3m6!1s0x60188be3b873f7fd:0x59bb62fe10af207!8m2!3d35.6716068!4d139.7611405!16s%2Fg%2F11v3tprt9r!19sChIJ_fdzuOOLGGARB_IK4S-2mwU?authuser=0&hl=ja&rclk=1,takosu resutoran,takosu resutoran,5,1,@104-0061 Dong Jing Du Zhong Yang Qu Yin Zuo 6Ding Mu 3-16 Tai Ming biru 2F VOK Tacos,35.6716068,139.7611405
ChIJK7MFDl1gGGARQjoAz86HD-A,STESKS TACOS,https://www.google.com/maps/place/STESKS+TACOS/data=!4m7!3m6!1s0x6018605d0e05b32b:0xe00f87cecf003a42!8m2!3d35.5619712!4d139.7131797!16s%2Fg%2F11f6nr3fvb!19sChIJK7MFDl1gGGARQjoAz86HD-A?authuser=0&hl=ja&rclk=1,resutoran,resutoran,,,@144-0051 Dong Jing Du Da Tian Qu Xi Pu Tian 7Ding Mu 64 STESKS TACOS,35.5619712,139.7131797
